0;-824;-148;17572;408;-608
1;-900;-2528;15436;-423;-1599
2;-1020;-2800;14504;1917;-3596
3;-580;-2500;14812;3423;-4121
4;-24;-1996;15228;3395;-3124
5;176;-1496;15772;2028;-1104
6;248;-1144;16172;309;109
7;220;-1020;16092;-627;960
8;-188;-1512;15812;457;182
9;0;-1680;16316;2691;-778
10;388;-892;17700;3936;-206
11;80;-268;17784;2119;103
12;-604;-444;17116;698;-637
13;-248;-732;16936;357;-985
14;80;-1028;16596;-36;-438
15;-216;-1420;16272;65;-466
16;-64;-1460;16136;577;-571
17;-96;-1404;16440;870;-335
18;-448;-1788;16280;854;-429
19;-244;-1996;16348;1280;-562
20;-236;-1568;16272;1895;86
21;-180;-1320;16384;1881;475
22;-56;-1172;16584;1970;218
23;-136;-916;16744;2293;109
24;-228;-796;16668;2475;-836
25;272;-472;16828;2564;-996
26;492;236;17352;2172;-275
27;-108;208;16668;1130;-820
28;36;-128;15484;1496;-926
29;160;-400;15244;2610;-1053
30;296;-612;14564;3673;-1340
31;712;-660;14476;5564;-1784
32;868;172;15300;6972;-352
33;352;1052;15464;5748;-197
34;124;1304;15484;4485;-112
35;224;1448;15164;4254;-943
36;692;2096;15400;5121;-772
37;684;2204;15552;4106;-643
38;712;2024;14936;3469;-616
39;564;1896;14584;3995;-109
40;548;2060;14696;5162;-446
41;1104;2268;14748;6214;-1326
42;1460;3356;15560;6539;-913
43;720;3556;14924;5469;-259
44;516;3088;14552;5184;326
45;412;3296;14912;5553;132
46;900;4680;15860;5047;737
47;640;5040;15632;3303;638
48;676;4732;14840;2811;1108
49;-96;4204;15324;3244;1710
50;236;4532;15436;3219;764
51;524;4568;15092;2506;1089
52;196;4784;14892;2583;1092
53;-52;5316;14876;3647;1188
54;-292;5128;14852;3885;332
55;132;4776;14088;3651;208
56;232;5276;13900;3775;17
57;48;6132;13988;4368;-193
58;148;6196;14376;4446;-300
59;144;5852;13628;3362;-669
60;36;5632;12956;3005;-729
61;-136;5556;12812;3470;-444
62;432;6376;13412;2002;-365
63;1288;5992;13492;-422;-47
64;304;5640;12272;-1046;-335
65;-196;5176;12004;1748;-583
66;144;5832;12636;4735;1787
67;504;6896;13572;4600;2659
68;160;7496;13432;2769;2560
69;-744;7100;12260;3446;1345
70;-800;7360;12548;6030;2341
71;-544;8368;13952;5473;2991
72;-160;8676;13800;4048;1414
73;-1068;8388;13188;3486;1975
74;-1896;7932;13124;3530;1529
75;-2048;8376;13708;3119;956
76;-956;8772;14424;1341;67
77;-152;9368;13772;-758;-462
78;-1076;8588;12916;-1673;878
79;-2724;7476;11924;-1176;-108
80;-1552;8024;13252;754;1332
81;-988;8764;15752;802;2377
82;-1620;9384;14604;-2490;-306
83;-2392;9008;12372;-2690;-2206
84;-1704;8084;13084;-775;-2514
85;-1624;7612;14120;-831;-2551
86;-756;7824;14620;-1545;-2004
87;-212;7464;13976;-2615;-383
88;-2144;7244;13084;-2513;1655
89;-2940;7316;14012;-1119;-1494
90;-672;8204;16112;-482;-2935
91;-716;8144;17680;-2333;-2495
92;-2388;6836;14936;-6113;-2445
93;-1888;4908;13892;-7885;-1474
94;56;3920;17000;-5494;-691
95;-612;4932;19608;-2501;-1286
96;-212;5216;20788;-4783;-6107
97;2192;3852;21828;-9471;-3765
98;1580;4304;22100;-11762;2787
99;-2548;6060;24992;-7900;5116
100;-2364;10140;30612;-4208;2061
101;-2416;13560;32580;-7350;-338
102;-2440;13948;30828;-14185;-1511
103;-1568;13208;26308;-18860;-5173
104;-1164;11184;20856;-20518;-7584
105;-272;8032;16524;-19481;-8659
106;292;5684;13892;-14653;-9340
107;452;3648;11804;-11188;-7687
108;208;2344;10688;-9463;-7147
109;852;1008;8140;-8800;-6628
110;1864;-672;7824;-5382;-1990
111;1632;-844;9120;-3133;-1638
112;1900;-752;9488;-2611;-3274
113;1268;-1488;9168;-2839;-3040
114;2344;-2080;9900;-2061;-1163
115;2984;-1664;11656;-329;-18
116;3044;-1296;12676;-50;-1026
117;3496;-1940;12976;255;-3008
118;4128;-2220;12496;490;-1337
119;2292;-2300;14224;559;378
120;2896;-2036;14544;1527;-4264
121;3572;-1988;13260;3304;-7740
122;3928;-2400;13036;3932;-5949
123;4568;-2612;13972;3705;-4446
124;3504;-2084;14316;4884;-6488
125;4268;-1448;13828;5671;-9152
126;5532;-2008;13412;5441;-7428
127;5888;-1840;14488;5466;-4526
128;5784;-1116;15632;4254;-4446
129;6392;-516;15668;3132;-5348
130;6788;-756;14756;2044;-5603
131;7212;-808;14580;1667;-3847
132;7600;-428;15428;1993;-2706
133;7220;-100;16108;702;-2459
134;6820;-156;15460;432;-3973
135;7660;-92;14744;542;-5102
136;8376;0;14944;453;-3391
137;7952;96;15600;92;-3928
138;8092;-392;14936;-16;-5972
139;8048;-260;13956;513;-4766
140;8140;-516;14540;499;-3639
141;8976;-460;14188;779;-4054
142;8512;-400;14636;2297;-4797
143;8820;-744;13656;1514;-4050
144;9504;-1076;13572;448;-1885
145;9612;-404;13564;891;-2225
146;9192;-220;13868;2148;-4659
147;9408;-812;13528;1654;-4369
148;9660;-1364;12764;604;-2367
149;9844;-104;13276;276;-2163
150;10032;532;13504;1594;-4480
151;10916;468;13072;781;-3373
152;10744;836;12604;45;-2215
153;10796;932;11956;-322;-2149
154;10864;1080;11572;644;-2762
155;10760;968;11468;1875;-2384
156;10428;948;12088;2308;-2060
157;10448;868;12172;1410;-2454
158;10896;880;10652;429;-2445
159;10500;636;10876;1548;-1557
160;10628;1044;11352;2429;-2344
161;12252;960;10908;1629;-484
162;11324;1992;11944;1044;578
163;11308;1412;11368;914;-445
164;11652;68;10356;592;-250
165;11104;1300;10752;2102;654
166;11396;1424;11416;2481;-270
167;11640;1880;11624;1579;-725
168;12116;1872;10376;406;-911
169;11684;2456;10528;1166;130
170;11880;2796;11304;2587;-612
171;12364;3004;11776;2180;-668
172;12292;2748;12060;609;480
173;11992;2808;12032;-87;362
174;11528;2180;11584;-413;615
175;10740;2012;12236;1221;-960
176;11416;1836;12064;1812;-2146
177;12036;1732;11404;366;-1223
178;11660;2088;10980;11;537
179;11412;2380;11668;1665;-643
180;11752;2404;11152;1219;-758
181;11408;2388;11344;1157;321
182;11056;2780;11832;1364;-488
183;11508;2808;11092;555;-413
184;11320;2996;11488;858;-1455
185;11948;2812;10448;337;-2654
186;13220;2680;9732;-92;-936
187;12540;3388;10560;732;996
188;12072;3408;11388;620;209
189;12028;3256;10872;-227;39
190;12164;2812;10684;-926;1519
191;11404;3268;10696;-728;2481
192;11852;2332;10812;-505;2848
193;11544;3384;11960;-1498;5684
194;11664;2624;11472;-4739;6739
195;11052;1812;10580;-5321;8770
196;10628;1368;11456;-2475;9898
197;10768;2384;13092;-809;8714
198;10096;1896;13796;-1327;8416
199;9860;1688;13600;-2810;8459
200;8536;1244;13940;-914;7691
201;8572;1544;14192;355;5814
202;8884;1852;14868;-150;6943
203;8256;2032;15384;-1737;8357
204;6788;1636;14776;-2309;7214
205;6288;1184;14832;-817;5516
206;7472;1376;15120;24;4462
207;6624;1916;15512;-582;5503
208;5844;1588;14580;-942;4614
209;6036;920;14140;-493;5746
210;5236;1340;15284;210;5694
211;5556;1840;15156;608;2240
212;5904;1516;14828;736;2672
213;5524;1236;14760;863;4652
214;4788;1564;15972;528;5577
215;4712;1828;15860;755;3231
216;4616;1880;15864;1713;2064
217;4868;1860;16176;993;3873
218;3596;2192;16616;395;3181
219;3460;2044;16444;502;2018
220;3596;2076;16384;406;1271
221;4168;1968;15852;-731;1810
222;3996;1984;15620;-1097;3877
223;3112;2060;16136;-579;3490
224;3108;1680;15820;-326;1511
225;3460;1432;15312;-240;1710
226;3440;1368;15120;-1018;4057
227;2584;1200;15572;-1410;5221
228;2452;1504;16252;174;2660
229;2800;1944;16584;304;-72
230;3864;1068;15612;-1556;1726
231;2000;884;15064;-2649;6846
232;1068;1188;15528;-2684;5097
233;1532;1488;15632;-1005;973
234;2532;1516;14524;664;-402
235;2684;1432;14980;-250;2891
236;1536;2100;16560;-658;5066
237;856;1268;16312;-573;1872
238;1592;1092;15856;194;154
239;1508;1724;15640;481;3570
240;824;2176;17048;-1029;5262
241;-152;1608;17888;-2518;4644
242;-1152;964;16896;-1388;-272
243;124;564;16000;-107;-1196
244;256;1496;16940;248;1575
245;148;2068;17984;-770;1367
246;528;1940;18020;-1843;-199
247;-456;2120;16388;-1744;-164
248;-860;672;16244;591;-1390
249;1516;1208;16672;1748;162
250;676;860;17660;2519;282
251;1044;1184;18372;2452;-386
