0;-412;-292;16688;1512;220;
1;-392;-220;16284;1484;1654;
2;-316;8;16648;1400;939;
3;-652;-216;16272;101;226;
4;-620;-440;15876;-549;-161;
5;-492;-500;15948;-267;-63;
6;-816;-552;15960;34;162;
7;-532;-408;16088;586;401;
8;-352;-176;15948;819;617;
9;-420;-236;16276;622;502;
10;-476;-316;16148;141;152;
11;-472;-276;16056;35;-15;
12;-604;-244;16244;91;62;
13;-880;-48;16360;-140;-135;
14;-900;-316;16136;-185;-164;
15;-540;-216;16460;-56;-66;
16;-592;-36;16500;55;96;
17;-712;-328;16316;153;79;
18;-616;-320;16360;427;200;
19;-904;-312;16200;871;292;
20;-1016;-188;16400;1016;244;
21;-680;-716;16700;1197;549;
22;-444;-1148;16624;1498;964;
23;-512;-1156;16188;2291;1223;
24;-416;-824;16124;3440;1406;
25;-636;-264;16264;4376;1672;
26;-976;488;16496;4788;1710;
27;-1184;740;16136;4530;2021;
28;-1452;344;15832;4326;2337;
29;-1540;468;15568;4877;1963;
30;-1068;1120;15652;5609;2230;
31;-1128;1348;15180;5915;2093;
32;-1592;1216;15168;5572;1747;
33;-1404;1108;14828;5233;1242;
34;-1880;1788;15244;5444;1299;
35;-2152;2520;14852;6097;1443;
36;-2180;2864;15068;6042;1258;
37;-2164;2552;14472;5601;832;
38;-1696;2704;14352;5583;647;
39;-1632;3356;14516;6010;478;
40;-1656;3564;14432;6054;-27;
41;-1668;3644;14344;5576;-320;
42;-1332;3540;14080;5203;-106;
43;-916;3840;13756;5438;342;
44;-1768;5052;13660;6488;531;
45;-2116;5464;14356;6828;444;
46;-2136;5324;14152;6281;-82;
47;-964;6232;14108;6498;1177;
48;-1368;6824;14348;7064;2326;
49;-1948;7160;13896;6480;1478;
50;-1596;6884;13452;6036;1072;
51;-1416;7152;13828;6042;753;
52;-1864;7980;13988;5695;216;
53;-1556;8328;13928;4928;73;
54;-1552;8476;14172;4190;116;
55;-1184;8532;14352;3310;307;
56;-1072;7956;13756;2161;-210;
57;-984;7776;13796;1606;-749;
58;-1104;8160;13764;1983;-1005;
59;-1428;8296;13620;2258;-1347;
60;-1260;7616;13620;1796;-1065;
61;-1176;7564;13748;1574;-1672;
62;-1160;8156;13432;1914;-1505;
63;-852;8416;13788;2380;-1293;
64;-488;8752;13912;2686;-1269;
65;-632;9124;13740;2751;-523;
66;-688;9020;13444;2341;-1446;
67;-444;9016;13164;2047;-2193;
68;-228;9444;13720;2275;-1655;
69;-52;9736;13712;2033;-1730;
70;-64;9832;13888;1805;-1212;
71;-168;9940;13624;1491;-850;
72;-172;10180;13892;947;-486;
73;812;9968;13880;-218;343;
74;536;9992;13868;-1468;762;
75;-56;9728;13588;-2726;847;
76;436;10032;13964;-3562;68;
77;-540;9648;13972;-4058;-242;
78;-572;9000;13396;-4446;-438;
79;-240;8784;13492;-4695;-588;
80;472;9056;14436;-5322;814;
81;-116;8468;14216;-5662;285;
82;-336;8216;15208;-5593;-358;
83;-308;7296;14616;-5376;-429;
84;-228;6592;14712;-4495;79;
85;-320;7136;16640;-3076;850;
86;-864;6468;16868;-3488;906;
87;-800;6120;17212;-5048;-1116;
88;-2008;6756;18432;-5247;-797;
89;-3148;6568;18740;-4120;-1040;
90;-1680;6924;21680;-3829;-3319;
91;-520;8808;24884;-5328;-2841;
92;-1160;8436;25324;-7758;-3632;
93;-764;9552;27032;-8983;-3920;
94;1196;9576;27308;-10050;-2681;
95;2340;9504;27344;-11302;-1873;
96;2536;10108;26972;-10861;-557;
97;2348;10880;26208;-9746;469;
98;2920;10940;24268;-9496;433;
99;2780;9092;22144;-10861;978;
100;2052;5756;17776;-10859;-459;
101;2160;6472;16852;-7743;2479;
102;2880;6592;16816;-4879;6073;
103;3136;5620;15580;-5079;7142;
104;3328;4524;14948;-6437;8599;
105;2676;2848;12968;-7708;7414;
