0;944;-308;17216;-386;126
182;-2508;-1392;13620;-5659;-2289;
183;-2212;-1732;13700;-5151;510;
184;-2148;-1136;13564;-3829;4765;
185;-2872;-2076;14064;-3169;5284;
186;-2984;-3200;13156;-1911;6941;
187;-3156;-3456;12664;-155;10674;
188;-3500;-2524;14032;645;13080;
189;-4084;-1512;14052;1720;12222;
190;-3960;-1852;14212;2310;12153;
191;-4820;-1856;14132;1436;10843;
192;-4832;-1856;14320;-154;11163;
193;-5380;-1944;12736;-679;12229;
194;-6688;-1768;13492;201;11195;
195;-7472;-1372;12872;804;10291;
196;-7000;-1740;13960;937;8576;
197;-7320;-2144;13764;794;8688;
198;-8028;-1096;12324;465;8988;
199;-9824;-1640;12996;203;9614;
200;-9228;-1760;12684;229;7370;
201;-8592;-2576;11896;81;6279;
202;-8992;-2088;12412;965;5806;
203;-9848;-1648;11664;2055;4493;
204;-9444;-2064;11796;2733;6160;
205;-9804;-1596;12000;3027;7382;
206;-10020;-2148;11296;2100;5593;
207;-9840;-1880;11364;1232;3368;
208;-10116;-2056;11460;857;3039;
209;-10724;-2392;11236;1139;661;
210;-10576;-2076;11192;1693;-350;
211;-10272;-1468;12416;2570;-2174;
212;-10612;-1164;13592;2786;-7674;
213;-11144;-724;13812;1850;-15615;
214;-9808;-560;11568;-1410;-12662;
215;-9976;-1948;12332;-1603;-6705;
216;-9676;-1060;13988;-168;-7504;
217;-9304;-292;14572;1019;-9702;
218;-8880;-724;15836;1388;-14369;
219;-7640;-944;15264;-31;-18921;
220;-6648;-596;14496;-1704;-20386;
221;-5572;-1100;14440;-1506;-17524;
222;-4860;-1716;14516;-1136;-14848;
223;-4368;-992;14648;-233;-11491;
224;-3824;-812;15964;960;-11168;
225;-3080;-1164;15628;1111;-13014;
226;-3080;-2140;14796;358;-12831;
227;-1216;-1936;15204;-233;-12118;
228;-1616;-1228;15648;327;-9353;
229;-1840;-584;15488;1461;-10281;
230;228;-1468;15924;2136;-11411;
231;-612;-2192;15484;2508;-10695;
232;-452;-1420;15472;3075;-10843;
233;1520;-348;16276;3814;-9004;
234;1036;-176;16520;3901;-6377;
235;1180;-136;16040;2789;-8114;
236;3212;-172;16812;1971;-11537;
237;4352;-416;16656;1859;-9403;
238;3004;-176;16456;2081;-7058;
239;3092;-156;15964;1874;-7793;
240;4360;-680;15944;1946;-6175;
241;3160;-676;15256;2491;-6085;
242;3968;820;16544;3578;-8159;
243;3768;-720;14476;2103;-6296;
244;3624;-140;14000;3948;-7302;
245;6464;1676;15528;5453;-4240;
246;5000;1860;15008;3930;-2608;
247;6552;1240;14184;3309;-2461;
248;6692;2064;14520;3959;-1633;
249;5452;2372;15016;4371;-2205;
250;5172;2536;14108;3967;-4490;
251;6196;2316;14056;3812;-4753;
252;6176;2464;14084;3899;-2667;
253;6360;3108;13768;2996;-2758;
254;6572;3240;13584;2502;-4481;
255;6416;3268;13940;2912;-4436;
256;6492;3128;13892;3101;-3154;
257;6600;3420;13772;2829;-2749;
258;6256;3688;13764;2802;-2671;
259;6932;3440;13644;3011;-2380;
260;6944;3628;13496;3088;-2839;
261;7252;4284;13740;3507;-1433;
262;7960;4816;14344;3244;616;
263;7948;5200;14380;2448;1220;
264;7720;4880;14400;1652;553;
265;7144;4396;14024;1071;-423;
266;7420;4292;13916;857;-344;
267;7736;4164;13808;978;2684;
268;6672;4680;14112;783;5061;
269;6496;4876;14456;102;6656;
270;7108;4784;14640;-969;7550;
271;6096;5076;14772;-1471;8832;
272;5260;5112;14204;-1472;7674;
273;5160;4140;13560;-1135;7024;
274;4912;3948;13096;-252;8332;
275;4852;3896;13732;1227;11484;
276;4276;4284;14388;1402;12214;
277;4208;5132;14020;1628;11590;
278;3488;5040;14340;1888;13102;
279;3208;5200;14652;1776;11969;
280;1600;5628;13772;1385;10514;
281;1568;5428;15432;1059;10687;
282;3024;5196;14300;355;14008;
283;1236;3616;15652;-135;16823;
284;-288;5068;15268;72;17395;
285;-1952;5332;14944;593;14415;
286;-2096;5068;14188;1237;14648;
287;-2428;4404;14724;1605;14451;
288;-2072;5440;15404;2169;12131;
289;-2020;5412;14932;2097;11579;
290;-2392;5640;14364;2062;12915;
291;-4020;6180;14816;2555;13763;
292;-4744;6752;14464;2787;13065;
293;-4708;6772;14672;2470;12505;
294;-4444;6848;14216;1793;13133;
295;-4992;6260;14024;1601;11971;
296;-5280;6216;13748;1814;10782;
297;-5444;6468;13824;2270;9869;
298;-5944;6760;13696;2062;9064;
299;-6128;6904;14000;1607;8826;
300;-6368;6660;12416;640;8920;
301;-6988;6100;12940;425;8732;
302;-7344;6012;11752;1041;9363;
303;-7624;6460;12596;2044;8265;
304;-8312;6500;12640;2194;5834;
305;-8252;7044;12836;1366;3272;
306;-6896;5676;12028;447;4644;
307;-7172;6672;11980;1522;5159;
308;-7468;6948;12040;1933;3779;
309;-9052;6992;12408;726;1846;
310;-9132;7092;11908;-175;-1082;
311;-8064;6540;12552;-385;-1848;
312;-7740;6308;12756;-241;-3873;
313;-7476;6980;11896;-508;-8288;
314;-7368;6920;11428;-927;-6769;
315;-7568;6356;12340;-140;-10152;
316;-7384;6568;12984;280;-14735;
317;-7596;6852;13876;113;-19208;
318;-6488;6976;12464;202;-20139;
319;-4848;7168;10620;-2;-12262;
320;-4156;5184;12676;1458;-6737;
321;-4572;6116;12728;3357;-5233;
322;-4576;7248;14136;3979;-6091;
323;-4400;7372;14588;3716;-9095;
324;-4180;7636;14104;2474;-12644;
325;-3456;7648;12660;1382;-13025;
326;-2844;6604;12340;693;-5699;
327;-2516;6864;12576;2176;-2908;
328;-2780;6928;13292;2851;-2892;
329;-1984;7612;13952;2945;-4270;
330;-2316;7396;14012;2351;-6679;
331;-2396;8012;13620;2313;-8993;
332;-2068;7928;12840;2238;-8905;
333;-1348;6904;12040;1705;-5338;
334;-1784;6436;12144;1546;-2975;
335;-1596;7228;12652;2314;-2550;
336;-848;8036;13068;3423;-4030;
337;-584;7720;13280;3380;-4295;
338;-1116;8516;13180;3219;-4032;
339;-748;9192;13016;3194;-4420;
340;-568;8080;13040;2979;-4622;
341;508;8116;12640;2695;-3268;
342;464;8708;12372;2339;-1962;
343;-308;9004;13064;2409;-1712;
344;-504;9540;13240;2585;-2514;
345;164;9404;12812;2442;-3306;
346;448;8816;12736;2400;-1963;
347;212;8568;12564;2214;-383;
348;-4;9072;12420;2441;1407;
349;428;9540;12768;2922;2057;
350;484;9300;12804;2617;826;
351;68;9664;12924;2194;441;
352;-720;10108;12436;1944;-1053;
353;-296;9980;12316;1926;680;
354;152;9816;11940;1929;2054;
355;628;9884;12384;1833;2524;
356;564;10000;12220;1518;1607;
357;540;9952;12372;1544;-296;
358;240;10096;12636;1832;172;
359;-240;11116;12872;1662;-908;
360;64;11232;12648;1008;986;
361;908;10544;13144;123;2451;
362;1772;10020;13548;-911;3717;
363;620;10488;12444;-2018;2883;
364;-464;10708;12400;-1740;-247;
365;-896;10596;11828;-766;2395;
366;-372;10564;12044;-235;2646;
367;8;9868;11740;-376;3997;
368;780;9952;12048;-1172;6407;
369;1008;9240;12076;-1883;6419;
370;472;9212;11456;-2305;4057;
371;-248;9944;11800;-2095;3309;
372;-284;9912;11956;-1506;2249;
373;372;9656;11832;-1518;2568;
374;128;9344;12324;-1718;4010;
375;100;9252;12584;-1955;4108;
376;940;8880;12616;-2216;4326;
377;-124;8836;12984;-2718;4311;
378;-580;9728;12836;-2871;2711;
379;-1332;9764;13168;-2594;3351;
380;-1208;10592;14684;-1955;1686;
381;-968;9792;14728;-2094;732;
382;-872;9792;14228;-3533;1098;
383;-1520;9452;14456;-4918;-110;
384;-876;9164;14548;-6165;-2066;
385;-1260;8892;15348;-5536;-2678;
386;-2384;8896;14852;-4316;5428;
387;-880;9544;12976;-3427;1532;
388;-1716;7576;13216;-2413;1737;
389;-1188;6772;12420;-2062;2937;
390;-980;6968;12248;-2341;379;
391;-1024;6368;11900;-3254;-1747;
392;32;6872;11688;-4285;-6978;
393;528;5916;11972;-4667;-7477;
394;716;6092;11076;-4165;-857;
395;-2480;10108;12056;-4679;6119;
396;-176;6436;11720;-5792;5203;
397;2944;6440;11008;-8291;177;
398;380;6764;13128;-7411;1424;
399;1372;6040;14220;-3448;2523;
400;-124;7196;13712;-2667;1621;
401;-172;6780;14716;-2041;-2114;
402;1464;5412;14552;-2527;-2524;
403;1908;5848;14436;-2915;-3444;
404;-5448;5364;17672;-2169;220;
405;-40;6592;13608;-2208;-5695;
406;-164;6696;15024;-3916;-5362;
407;248;5572;17812;-5137;-5449;
408;1628;5800;17816;-6499;-2697;
409;1180;5616;19252;-6181;-1466;
410;860;5304;20152;-2239;2636;
411;-764;4764;19892;393;1464;
412;400;4312;19216;503;-420;
413;-324;4684;18556;1243;-2479;
414;-2148;3196;23472;-13579;51;
415;-3144;-2444;20952;-11768;17503;
416;-376;1208;17416;-11765;-1049;
417;-9584;-1220;32767;-4330;202;
418;784;3064;14328;5500;9509;
419;-3144;2424;4192;1483;-10882;
420;-1040;-1240;15824;-3110;-7120;
421;-516;4332;21728;779;5690;
422;180;1368;11352;-1252;-2835;
423;-700;4896;16164;-2929;-610;
424;-36;3720;17428;-1604;-1978;
425;128;2656;16060;-820;-1424;
426;488;2584;15980;-383;813;
427;244;1796;16092;-151;882;
428;1036;1448;16292;-190;580;
429;-324;2652;15380;47;2153;
430;-464;2440;16232;-179;708;
431;-644;2480;16228;-159;238;
432;-532;2012;16260;-300;-436;
433;24;2420;15924;-187;91;
434;276;1988;16328;26;365;
435;-380;2244;16196;-7;819;
436;-644;2368;16164;-219;-655;
437;-124;2472;16088;-356;-230;
438;164;2284;16016;-18;640;
439;-616;2164;16224;-20;834;
440;-704;2512;15904;-135;-135;
441;-496;2388;16332;-202;-238;
442;-156;2156;16360;-17;-72;
443;316;2248;15796;46;499;
444;-392;2532;16432;-67;95;
445;-168;2488;15864;-24;333;
446;-236;2268;16316;-33;372;
447;-424;2480;15988;29;46;
448;-360;2452;16044;-2;53;
449;-404;2444;15840;-42;25;
450;-48;2068;16312;-27;367;
451;-368;2516;16056;-63;421;
452;-792;2444;16584;-135;-131;
453;-396;2136;16192;-122;-115;
454;-244;2404;15988;-75;211;
455;-164;2576;15976;-63;304;
456;-184;2476;16024;-102;264;
457;-464;2404;16268;-150;97;
458;-304;2076;16124;-139;43;
459;-60;2204;16224;-92;444;
460;-300;2076;16300;-42;283;
461;-484;2168;16120;54;-27;
462;-380;2352;16084;-16;-28;
463;-236;2404;15948;-12;331;
464;-348;2320;16040;-5;77;
465;-312;2420;16220;-75;-211;
466;-220;2360;15944;-22;62;
467;-204;2328;16000;-7;119;
468;-360;2344;16328;-47;174;
469;-228;2280;16112;-79;124;
470;-224;2288;16172;-60;108;
471;-648;2432;16148;-107;-93;
472;-272;2312;16292;-63;-57;
473;-416;2288;16036;-44;418;
474;-536;2348;16008;-27;279;
475;-348;2296;16100;-80;220;
476;-216;2216;16328;1;74;
477;-172;2392;15868;30;-159;
478;-244;2212;16240;13;10;
479;-268;2288;16112;-28;233;
480;-52;2432;16304;-13;381;
481;-216;2408;16188;-4;207;
482;-404;2328;16180;27;-83;
483;-232;2220;15904;-36;-55;
484;-344;2272;16276;-19;65;
485;-436;2408;16040;-113;179;
486;-332;2420;16000;-132;265;
487;-536;2428;16292;-173;107;
488;32;2312;16316;-40;194;
489;-316;2312;16144;-16;137;
490;-576;2088;16092;-54;50;
491;-308;2260;16172;-75;142;
492;-224;2416;16232;-22;251;
493;-300;2380;16144;-34;163;
494;-424;2312;16044;-44;49;
495;-268;2248;16124;-42;64;
496;-292;2244;16068;-38;53;
497;-356;2280;16152;-92;16;
498;-400;2160;16120;-123;201;
499;-408;2300;16132;-41;96;
500;-300;2296;16448;8;89;
501;-268;2240;15952;-14;86;
502;-296;2364;15976;-86;56;
503;-300;2284;16288;-94;87;
504;-340;2312;16080;-32;30;
505;-176;2212;16216;-20;181;
506;-360;2328;16156;-91;248;
507;0;2288;15696;-97;125;
508;-156;2300;16088;-155;191;
